x,y,covariance
0.23,-0.16,"[[2.71029717e-09 2.42416613e-10]
 [2.42416613e-10 1.90572710e-09]]"
0.23,0.05,"[[2.42523240e-09 4.62408775e-09]
 [4.62408775e-09 8.95379848e-09]]"
0.23,-0.05,"[[ 1.33916784e-09 -5.01609005e-09]
 [-5.01609005e-09  2.04413715e-08]]"
0.23,0.1,"[[5.80636677e-10 2.05492395e-10]
 [2.05492395e-10 8.79175423e-09]]"
0.23,-0.1,"[[ 9.58058447e-09 -5.02314596e-09]
 [-5.02314596e-09  6.40399930e-09]]"
0.23,0.03,"[[3.60064534e-09 2.76536605e-10]
 [2.76536605e-10 4.26356317e-09]]"
0.23,-0.03,"[[ 1.01279578e-08 -1.71333646e-09]
 [-1.71333646e-09  6.33963832e-08]]"
0.23,0.12,"[[3.70107480e-09 5.48870457e-09]
 [5.48870457e-09 8.52508931e-09]]"
0.23,-0.12,"[[ 2.98294012e-09 -1.28147840e-08]
 [-1.28147840e-08  7.12161839e-08]]"
0.23,0.21,"[[6.70733143e-09 6.49576869e-09]
 [6.49576869e-09 8.80313458e-09]]"
0.23,-0.21,"[[1.67240360e-09 5.90553946e-10]
 [5.90553946e-10 2.87861716e-09]]"
0.23,0.14,"[[4.11766840e-09 5.64253737e-09]
 [5.64253737e-09 8.12907926e-09]]"
0.23,-0.14,"[[3.45864382e-09 1.10087594e-08]
 [1.10087594e-08 4.26783693e-08]]"
-0.23,0.25,"[[2.12037341e-09 5.57500445e-10]
 [5.57500445e-10 5.50904379e-09]]"
-0.23,-0.25,"[[7.24128098e-10 1.48956381e-10]
 [1.48956381e-10 9.48875586e-11]]"
-0.23,0.18,"[[1.35425569e-09 6.21585571e-10]
 [6.21585571e-10 2.56854603e-09]]"
-0.23,-0.18,"[[1.15652739e-09 5.33720816e-10]
 [5.33720816e-10 1.27421172e-09]]"
-0.23,0.23,"[[2.25813140e-09 3.61574082e-10]
 [3.61574082e-10 5.41488725e-09]]"
-0.23,-0.23,"[[ 1.08128611e-09 -2.54238047e-10]
 [-2.54238047e-10  3.03800026e-10]]"
-0.23,0.01,"[[8.67371938e-10 3.36631562e-10]
 [3.36631562e-10 8.27734066e-10]]"
-0.23,-0.01,"[[1.11543829e-09 1.62444819e-10]
 [1.62444819e-10 4.42783952e-10]]"
-0.23,0.08,"[[1.12458673e-09 3.92537357e-10]
 [3.92537357e-10 8.38520385e-10]]"
-0.23,-0.08,"[[8.48432068e-10 2.84226633e-10]
 [2.84226633e-10 8.25942912e-10]]"
-0.23,0.16,"[[9.43132167e-10 3.38595601e-10]
 [3.38595601e-10 2.08736595e-09]]"
-0.23,-0.16,"[[8.66715254e-10 3.75151027e-10]
 [3.75151027e-10 2.03107637e-09]]"
-0.23,0.05,"[[1.34314630e-09 1.64879573e-10]
 [1.64879573e-10 5.25042136e-10]]"
-0.23,-0.05,"[[8.28098782e-10 1.96247470e-10]
 [1.96247470e-10 8.48535122e-10]]"
-0.23,0.1,"[[9.60921515e-10 3.29908741e-10]
 [3.29908741e-10 9.58526667e-10]]"
-0.23,-0.1,"[[9.14479634e-10 1.86464589e-10]
 [1.86464589e-10 1.80286444e-09]]"
-0.23,0.03,"[[8.78548530e-10 5.64685345e-11]
 [5.64685345e-11 4.77177340e-10]]"
-0.23,-0.03,"[[7.74177014e-10 1.04632820e-10]
 [1.04632820e-10 8.05406317e-10]]"
-0.23,0.12,"[[1.00040970e-09 1.47079571e-10]
 [1.47079571e-10 8.34735970e-10]]"
-0.23,-0.12,"[[1.05228959e-09 8.45075433e-10]
 [8.45075433e-10 2.68696660e-09]]"
-0.23,0.21,"[[1.94973759e-09 6.75722869e-10]
 [6.75722869e-10 2.99254751e-09]]"
-0.23,-0.21,"[[6.90195146e-10 2.52976527e-10]
 [2.52976527e-10 1.00032447e-09]]"
-0.23,0.14,"[[1.31145853e-09 2.81226980e-10]
 [2.81226980e-10 1.43991258e-09]]"
-0.23,-0.14,"[[5.19009942e-10 3.06073297e-10]
 [3.06073297e-10 2.32620742e-09]]"
0.01,0.25,"[[5.06631762e-09 7.40962313e-09]
 [7.40962313e-09 1.14252713e-08]]"
0.01,-0.25,"[[1.24515986e-09 8.27683661e-10]
 [8.27683661e-10 1.36814853e-09]]"
0.01,0.18,"[[ 7.13415642e-10 -1.59413525e-10]
 [-1.59413525e-10  9.23565240e-10]]"
0.01,-0.18,"[[ 4.36026597e-09 -1.36469056e-09]
 [-1.36469056e-09  1.14658111e-09]]"
