x,y,covariance
0.01,-0.01,"[[2.44125980e-09 2.31779849e-09] [2.31779849e-09 2.54338448e-09]]"
0.01,0.08,"[[2.62065774e-09 3.82547840e-09] [3.82547840e-09 5.70140617e-09]]"
0.01,-0.08,"[[2.53001081e-09 6.42270163e-10] [6.42270163e-10 2.62612887e-09]]"
0.01,0.16,"[[4.21061049e-09 7.77882803e-09] [7.77882803e-09 1.49201585e-08]]"
0.01,-0.16,"[[2.44648524e-09 2.99939471e-10] [2.99939471e-10 1.87002431e-09]]"
0.01,0.05,"[[2.04491788e-09 2.78511636e-09] [2.78511636e-09 3.79978124e-09]]"
0.01,-0.05,"[[2.07843553e-09 6.20216044e-10] [6.20216044e-10 1.31105768e-09]]"
0.01,0.1,"[[2.79414666e-09 4.47190402e-09] [4.47190402e-09 7.22241222e-09]]"
0.01,-0.1,"[[2.20104204e-09 4.41059467e-10] [4.41059467e-10 2.05998322e-09]]"
0.01,0.03,"[[1.82360365e-09 2.63527210e-09] [2.63527210e-09 3.86081943e-09]]"
0.01,-0.03,"[[1.94543339e-09 1.25698303e-09] [1.25698303e-09 1.73382836e-09]]"
0.01,0.12,"[[3.47362220e-09 5.54160471e-09] [5.54160471e-09 8.85768483e-09]]"
0.01,-0.12,"[[3.12761183e-09 6.58595613e-11] [6.58595613e-11 1.77612485e-09]]"
0.01,0.21,"[[5.18209328e-09 7.56701101e-09] [7.56701101e-09 1.16132861e-08]]"
0.01,-0.21,"[[2.88739724e-09 7.07047707e-11] [7.07047707e-11 5.79926396e-10]]"
0.01,0.14,"[[4.64814728e-09 6.42354425e-09] [6.42354425e-09 8.96715059e-09]]"
0.01,-0.14,"[[2.15642558e-09 7.77891851e-11] [7.77891851e-11 2.93880521e-09]]"
-0.01,0.25,"[[6.25091735e-09 8.40935785e-09] [8.40935785e-09 1.14309819e-08]]"
-0.01,-0.25,"[[3.13483028e-09 1.89188568e-09] [1.89188568e-09 1.14661678e-09]]"
-0.01,0.18,"[[5.04948995e-09 6.24157173e-09] [6.24157173e-09 7.85497422e-09]]"
-0.01,-0.18,"[[3.19127015e-09 2.75335151e-10] [2.75335151e-10 1.32572564e-09]]"
-0.01,0.23,"[[7.26469346e-09 9.02886087e-09] [9.02886087e-09 1.14427759e-08]]"
