x,y,mdq,mdu,sdq,sdu,bad_apples
0.05,0.01,-6.06e-05,-0.0005049,4.12e-05,7.34e-05,0
0.05,-0.01,-0.0001032,-0.0003151,4.43e-05,6.1e-05,0
0.05,0.08,-0.0002295,-0.0023052,6.11e-05,0.0001296,0
0.05,-0.08,-0.0001834,-0.0001012,4.24e-05,4.27e-05,0
0.05,0.16,0.0004153,-0.004744,5.95e-05,0.0001369,0
0.05,-0.16,-0.0002098,0.0006271,5.12e-05,5.78e-05,0
0.05,0.05,-6.55e-05,-0.0024814,5.19e-05,0.0001028,0
0.05,-0.05,-8.56e-05,-8.86e-05,4.14e-05,4.09e-05,0
0.05,0.1,-0.0005145,-0.0056219,6.25e-05,0.0001381,0
0.05,-0.1,-0.0018916,0.0011455,4.51e-05,4.45e-05,0
0.05,0.03,-0.0004027,-0.004086,5.61e-05,9.99e-05,0
0.05,-0.03,-1.27e-05,-0.0001566,4.89e-05,4.3e-05,0
0.05,0.12,0.0001121,-0.0030244,6.4e-05,0.0001353,0
0.05,-0.12,-0.0009306,0.0011374,5.08e-05,4.75e-05,0
0.05,0.21,0.0009348,-0.0114583,7.16e-05,0.0001618,0
0.05,-0.21,-0.0002706,0.0002077,5.29e-05,2.58e-05,0
0.05,0.14,-0.0002335,-0.003967,7.24e-05,0.0001471,0
0.05,-0.14,-0.0042245,0.0077981,5.5e-05,4.82e-05,0
-0.05,0.25,-0.0004605,-0.001422,8.36e-05,8.3e-05,0
-0.05,-0.25,0.000151,5e-07,5.35e-05,3.42e-05,0
-0.05,0.18,-0.0003556,-0.001552,5.92e-05,6.76e-05,0
-0.05,-0.18,-0.0056108,0.0057506,4.89e-05,3.05e-05,0
-0.05,0.23,-0.0003328,-0.0022648,7.19e-05,7.75e-05,0
-0.05,-0.23,2.13e-05,1.95e-05,4.47e-05,1.79e-05,0
-0.05,0.01,-0.0001001,-4.54e-05,4.51e-05,4.09e-05,0
-0.05,-0.01,-0.0001587,-7.21e-05,4.19e-05,4.06e-05,0
-0.05,0.08,-0.0002247,-0.0007031,4.95e-05,5.06e-05,0
-0.05,-0.08,-0.0002291,0.0002226,4.19e-05,5.9e-05,0
-0.05,0.16,-0.0003172,-0.0011403,5.98e-05,6.58e-05,0
-0.05,-0.16,-0.0003878,0.0003861,3.84e-05,4.87e-05,0
-0.05,0.05,-0.0001489,-0.000129,4.56e-05,4.18e-05,0
-0.05,-0.05,-0.0004103,0.0001077,4.02e-05,4.67e-05,0
-0.05,0.1,-4.15e-05,-0.0029336,5.18e-05,5.84e-05,0
-0.05,-0.1,-0.0024616,0.0031049,4.7e-05,4.9e-05,0
-0.05,0.03,-0.0001364,-3.83e-05,4.64e-05,4.12e-05,0
-0.05,-0.03,-0.0002606,8.03e-05,3.94e-05,3.88e-05,0
-0.05,0.12,-5.37e-05,-0.000834,4.97e-05,5.39e-05,0
-0.05,-0.12,-0.0117995,0.0184068,5.86e-05,4e-05,0
-0.05,0.21,-0.0001412,-0.0007471,7.24e-05,8.03e-05,0
-0.05,-0.21,-0.0122091,0.0075797,6.45e-05,1.27e-05,0
-0.05,0.14,-9.4e-05,-0.0007635,5.77e-05,6.46e-05,0
-0.05,-0.14,-0.000409,0.0005669,4.46e-05,4.79e-05,0
0.1,0.25,0.0030741,0.0036013,0.0001215,0.0012776,0
0.1,-0.25,-0.0078952,0.0061448,7.06e-05,9.4e-06,0
0.1,0.18,0.0045751,-0.0074813,7.11e-05,0.0037757,0
0.1,-0.18,-0.0005952,0.0008656,5.32e-05,5.69e-05,0
0.1,0.23,0.004731,-0.0020328,0.0001057,0.002653,0
0.1,-0.23,-0.0012263,0.0004288,5.87e-05,3.32e-05,0
0.1,0.01,0.0028608,-0.0189733,4.84e-05,0.0002176,0
0.1,-0.01,0.0001888,-0.0025007,5.28e-05,0.0001383,0
0.1,0.08,0.00329,0.0001574,5.89e-05,0.000249,0
0.1,-0.08,-0.0005183,-0.0008452,5.29e-05,4.63e-05,0
0.1,0.16,0.0041224,-0.0049384,6.22e-05,0.0017492,0
0.1,-0.16,-0.0003224,0.0004777,4.58e-05,5.28e-05,0
0.1,0.05,0.0032721,-0.0073592,4.8e-05,0.0002398,0
0.1,-0.05,3.92e-05,-0.0009654,4.91e-05,6.88e-05,0
0.1,0.1,0.0032069,-0.0010687,4.14e-05,0.0004634,0
